id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
4908537,Wed Jan 04 2017 09:40:57 GMT+1100 (GMT+11),2017-01-04,2017-01-03 22:40:57 UTC,Asia/Magadan,125670,andrewtrevor-jones,Andrew Trevor-Jones,2017-01-07 20:54:22 UTC,2017-10-27 00:53:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/4908537,https://static.inaturalist.org/photos/5974766/medium.jpg,,"",,5,0,false,3,"New South Wales, AU",-34.1398934716,151.2687919161,,"Tasman Sea, Botany Bay, NSW, AU",-34.00529,151.22874167,28888,obscured,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Common Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
8641475,2017/10/29 12:06 PM AEDT,2017-10-29,2017-10-29 01:06:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2017-11-01 11:00:40 UTC,2017-11-02 03:39:45 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8641475,https://static.inaturalist.org/photos/11568347/medium.jpg,,"Actinopteri, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",I first spotted this seadragon on 23 September and he had a hole in his head and a new brood of eggs.  Five weeks later he still has a hole in his head but his eggs are hatching.,4,0,false,,"New South Wales, AU",-34.0082606155,151.2407102164,,"New South Wales, Australia",-34.00505,151.2293333333,28888,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Common Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
9675014,2018/01/27 12:55 PM AEDT,2018-01-27,2018-01-27 01:55:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2018-01-31 00:46:23 UTC,2018-01-31 04:03:33 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9675014,https://static.inaturalist.org/photos/13222350/medium.jpg,,"Actinopteri, Animals, Cochleoceps, Cochleoceps orientalis, Eastern cleaner-clingfish, Fish, Gobiesocidae, Gobiesociformes, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies","Cochleoceps orientalis, Phyllopteryx taeniolatus at The Leap. 18.7 m DSC_0416",5,0,false,,"New South Wales, AU",-34.0614127457,151.3988585813,,"Sutherland Shire - East, New South Wales, Australia",-34.0048,151.2295383333,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Common Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
9903915,2018/02/17 8:44 AM AEDT,2018-02-17,2018-02-16 21:44:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2018-02-18 07:53:38 UTC,2018-02-18 13:06:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9903915,https://static.inaturalist.org/photos/13581854/medium.jpg,,"Actinopteri, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Leap. 17.9 m DSC_2073,3,0,false,,"New South Wales, AU",-34.086149054,151.3781526787,,"New South Wales, Australia",-34.0048,151.2295383333,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Common Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
10065243,2018/03/03 8:46 AM AEDT,2018-03-03,2018-03-02 21:46:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2018-03-03 07:21:41 UTC,2018-03-09 05:29:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10065243,https://static.inaturalist.org/photos/13856783/medium.jpg,,"Actinopteri, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Leap. 18.9 m DSC_2820,2,0,false,,"New South Wales, AU",-34.0108532836,151.2464398437,,"New South Wales, Australia",-34.00505,151.2293333333,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Common Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
10065245,2018/03/03 8:38 AM AEDT,2018-03-03,2018-03-02 21:38:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2018-03-03 07:21:47 UTC,2018-03-09 05:28:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10065245,https://static.inaturalist.org/photos/13856787/medium.jpg,,"Actinopteri, Animals, Fish, PT2016073101, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies","Phyllopteryx taeniolatus, PT2016073101 at The Leap. 20 m DSC_2804",2,0,false,,"New South Wales, AU",-34.0056327049,151.3389357984,,"New South Wales, Australia",-34.00505,151.2293333333,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Common Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
10355093,2018/03/18 9:53 AM AEDT,2018-03-18,2018-03-17 22:53:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2018-03-22 07:29:38 UTC,2019-11-13 12:07:08 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10355093,https://static.inaturalist.org/photos/14363660/medium.jpg,,"Actinopteri, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Steps. 11.2 m DSC_4122,5,0,false,,"New South Wales, AU",-34.1426295844,151.3824465904,,"Sydney NSW, Australia",-34.0025866667,151.2251633333,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Weedy Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
10521699,2018/03/31 8:54 AM AEDT,2018-03-31,2018-03-30 21:54:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2018-03-31 05:20:13 UTC,2018-04-04 06:21:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10521699,https://static.inaturalist.org/photos/14643929/medium.jpg,,"Actinopteri, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Leap. 18.4 m DSC_4693,3,0,false,,"New South Wales, AU",-34.1520691626,151.2522215597,,"New South Wales, Australia",-34.0048083333,151.2291666667,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Common Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
13169425,2018/05/31 11:20 AM AEST,2018-05-31,2018-05-31 01:20:00 UTC,Brisbane,125670,andrewtrevor-jones,Andrew Trevor-Jones,2018-06-06 08:16:12 UTC,2018-06-06 12:33:17 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/13169425,https://static.inaturalist.org/photos/19232380/medium.jpg,,"Actinopteri, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Monument. 12.8 m DSC_9490,3,0,false,,"New South Wales, AU",-34.0337988409,151.3710521885,,"Sydney NSW, Australia",-34.000645,151.2207533333,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Common Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
14309030,2018/07/08 12:50 PM AEST,2018-07-08,2018-07-08 02:50:00 UTC,Brisbane,125670,andrewtrevor-jones,Andrew Trevor-Jones,2018-07-13 07:37:46 UTC,2018-07-14 08:40:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/14309030,https://static.inaturalist.org/photos/21254410/medium.jpg,,"Actinopteri, Animals, Fish, PT2016073101, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies","Phyllopteryx taeniolatus, PT2016073101 at The Leap. 21.2 m DSC_1561",3,0,false,,"New South Wales, AU",-34.1124409201,151.3706084654,,"Kurnell NSW 2231, Australia",-34.0051,151.2291,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Common Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
