id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
44342027,2020/04/27 2:10 PM AEST,2020-04-27,2020-04-27 04:10:00 UTC,Sydney,44169,scott1e2310,2020-04-30 05:13:09 UTC,2022-01-20 05:54:01 UTC,research,,https://www.inaturalist.org/observations/44342027,https://static.inaturalist.org/photos/70302435/medium.jpg,,"","",4,0,false,,,,,,"Second Valley SA 5204, Australia",-35.509555555,138.2153333333,28677,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
44342029,2020/04/18 10:08 AM AEST,2020-04-18,2020-04-18 00:08:00 UTC,Sydney,44169,scott1e2310,2020-04-30 05:13:12 UTC,2022-01-20 05:54:06 UTC,research,,https://www.inaturalist.org/observations/44342029,https://static.inaturalist.org/photos/70302457/medium.jpg,,"","",3,0,false,,,,,,"Second Valley SA 5204, Australia",-35.5094166667,138.2153333333,28677,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
44342030,2020/04/27 1:16 PM AEST,2020-04-27,2020-04-27 03:16:00 UTC,Sydney,44169,scott1e2310,2020-04-30 05:13:12 UTC,2022-01-20 05:54:07 UTC,research,,https://www.inaturalist.org/observations/44342030,https://static.inaturalist.org/photos/70302476/medium.jpg,,"","",4,0,false,,,,,,"Second Valley SA 5204, Australia",-35.509555555,138.2153333333,28677,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
44342034,2020/04/16 2:52 PM AEST,2020-04-16,2020-04-16 04:52:00 UTC,Sydney,44169,scott1e2310,2020-04-30 05:13:15 UTC,2022-01-20 05:54:08 UTC,research,,https://www.inaturalist.org/observations/44342034,https://static.inaturalist.org/photos/70302509/medium.jpg,,"","",3,0,false,,,,,,"Yankalilla, South Australia, Australia",-35.5093888883,138.2151666667,28677,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
44342037,2020/04/13 7:51 PM AEST,2020-04-13,2020-04-13 09:51:00 UTC,Sydney,44169,scott1e2310,2020-04-30 05:13:16 UTC,2022-01-20 05:54:09 UTC,research,,https://www.inaturalist.org/observations/44342037,https://static.inaturalist.org/photos/70302542/medium.jpg,,"","",3,0,false,,,,,,"Yankalilla, South Australia, Australia",-35.5099722217,138.215555555,28677,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
44342040,2020/04/08 2:22 PM AEST,2020-04-08,2020-04-08 04:22:00 UTC,Sydney,44169,scott1e2310,2020-04-30 05:13:18 UTC,2022-01-20 05:54:10 UTC,research,,https://www.inaturalist.org/observations/44342040,https://static.inaturalist.org/photos/70302580/medium.jpg,,"","",3,0,false,,,,,,"Yankalilla, South Australia, Australia",-35.5098611117,138.2158888883,28677,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
44342044,2020/04/02 9:57 AM AEDT,2020-04-02,2020-04-01 22:57:00 UTC,Sydney,44169,scott1e2310,2020-04-30 05:13:20 UTC,2022-01-20 05:54:17 UTC,research,,https://www.inaturalist.org/observations/44342044,https://static.inaturalist.org/photos/70302617/medium.jpg,,"","",3,0,false,,,,,,"Yankalilla, South Australia, Australia",-35.5093888883,138.215444445,28677,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
44342045,2020/04/02 3:42 PM AEDT,2020-04-02,2020-04-02 04:42:00 UTC,Sydney,44169,scott1e2310,2020-04-30 05:13:22 UTC,2022-01-20 05:54:16 UTC,research,,https://www.inaturalist.org/observations/44342045,https://static.inaturalist.org/photos/70302626/medium.jpg,,"","",3,0,false,,,,,,"Yankalilla, South Australia, Australia",-35.5098611117,138.2158888883,28677,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
44342048,2020/04/16 3:18 PM AEST,2020-04-16,2020-04-16 05:18:00 UTC,Sydney,44169,scott1e2310,2020-04-30 05:13:24 UTC,2022-01-20 05:54:15 UTC,research,,https://www.inaturalist.org/observations/44342048,https://static.inaturalist.org/photos/70302692/medium.jpg,,"","",3,0,false,,,,,,"Yankalilla, South Australia, Australia",-35.5094166667,138.215694445,28677,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
44342673,2020/04/18 10:08 AM AEST,2020-04-18,2020-04-18 00:08:00 UTC,Sydney,44169,scott1e2310,2020-04-30 05:27:58 UTC,2022-01-20 05:54:15 UTC,research,,https://www.inaturalist.org/observations/44342673,https://static.inaturalist.org/photos/70304182/medium.jpg,,"","",3,0,false,,,,,,"Second Valley SA 5204, Australia",-35.5094166667,138.2153333333,28677,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
