Encounter.catalogNumber	Name0.label	Name0.value	Name1.label	Name1.value	Occurrence.occurrenceID	Occurrence.sightingPlatform	Encounter.decimalLatitude	Encounter.decimalLongitude	Encounter.locationID	Encounter.verbatimLocality	Encounter.country	Encounter.depth	Encounter.dateInMilliseconds	Encounter.year	Encounter.month	Encounter.day	Encounter.hour	Encounter.minutes	Encounter.submitterOrganization	Encounter.submitterID	Encounter.recordedBy	Occurrence.groupComposition	Occurrence.groupBehavior	Occurrence.minGroupSizeEstimate	Occurrence.bestGroupSizeEstimate	Occurrence.maxGroupSizeEstimate	Occurrence.numAdults	Occurrence.numJuveniles	Occurrence.numCalves	Occurrence.initialCue	Occurrence.seaState	Occurrence.seaSurfaceTemp	Occurrence.swellHeight	Occurrence.visibilityIndex	Occurrence.effortCode	Occurrence.observer	Occurrence.transectName	Occurrence.transectBearing	Occurrence.distance	Occurrence.bearing	Occurrence.comments	Occurrence.humanActivityNearby	Encounter.patterningCode	Encounter.flukeType	Encounter.behavior	Encounter.groupRole	Encounter.sex	Encounter.lifeStage	Encounter.genus	Encounter.specificEpithet	Encounter.otherCatalogNumbers	Encounter.occurrenceRemarks	Encounter.mediaAsset0	Encounter.mediaAsset0.filePath	Encounter.mediaAsset1	Encounter.mediaAsset1.filePath
751c345b-e521-4437-ad34-ca42d0bd576f	Default	SA-0077			32a8f32b-b3b6-42b5-98c4-16282d71059c					"Vivonne Bay, South Australia"			1642291200000	2022	1	16	-1			Chrissy Tustison																					None						unknown	adult	Phycodurus	eques			AB_16Jan2022_VivonneBay_Leafy.jpeg	/var/lib/tomcat8/webapps/wildbook_data_dir/7/5/751c345b-e521-4437-ad34-ca42d0bd576f/AB_16Jan2022_VivonneBay_Leafy.jpeg	AB_16Jan2022_VivonneBay_Leafy.jpeg	/var/lib/tomcat8/webapps/wildbook_data_dir/7/5/751c345b-e521-4437-ad34-ca42d0bd576f/AB_16Jan2022_VivonneBay_Leafy.jpeg
9e9a270b-7a5c-4530-bcf2-4ca2b3a9d342	Default	SA-0075			9cf4f714-d965-4a14-846f-60f67373969d				SA-Rapid Bay				1635638400000	2021	10	31	-1			Chrissy Tustison																					None						unknown	adult	Phycodurus	eques			AB_31Oct2021_RapidBay_Leafy.jpeg	/var/lib/tomcat8/webapps/wildbook_data_dir/9/e/9e9a270b-7a5c-4530-bcf2-4ca2b3a9d342/AB_31Oct2021_RapidBay_Leafy.jpeg	AB_31Oct2021_RapidBay_Leafy.jpeg	/var/lib/tomcat8/webapps/wildbook_data_dir/9/e/9e9a270b-7a5c-4530-bcf2-4ca2b3a9d342/AB_31Oct2021_RapidBay_Leafy.jpeg
771a8c8b-5884-43fb-af12-af9d37038fdc	Default	SA-0073			ced9fa7e-25bc-4426-983a-894afc6f4be5				SA-Rapid Bay				1616371200000	2021	3	22	-1			Chrissy Tustison																					None						unknown	adult	Phycodurus	eques			AB_22March2021_RapidBay_Leafy.jpeg	/var/lib/tomcat8/webapps/wildbook_data_dir/7/7/771a8c8b-5884-43fb-af12-af9d37038fdc/AB_22March2021_RapidBay_Leafy.jpeg	AB_22March2021_RapidBay_Leafy.jpeg	/var/lib/tomcat8/webapps/wildbook_data_dir/7/7/771a8c8b-5884-43fb-af12-af9d37038fdc/AB_22March2021_RapidBay_Leafy.jpeg
76126d3b-9cf3-445d-b85e-8eff4cdc3180	Default	SA-0050	Nickname	Kauwi	c0943f19-8cbf-4982-a14f-463dafc561d9				SA-Rapid Bay				1609286400000	2020	12	30	-1			Chrissy Tustison																					None						unknown	adult	Phycodurus	eques			AB_RapidBay_30Dec2020_Leafy2.jpeg	/var/lib/tomcat8/webapps/wildbook_data_dir/7/6/76126d3b-9cf3-445d-b85e-8eff4cdc3180/AB_RapidBay_30Dec2020_Leafy2.jpeg	AB_RapidBay_30Dec2020_Leafy2.jpeg	/var/lib/tomcat8/webapps/wildbook_data_dir/7/6/76126d3b-9cf3-445d-b85e-8eff4cdc3180/AB_RapidBay_30Dec2020_Leafy2.jpeg
f9a6e8da-370e-4e2d-aa70-281dc8e9f5e9	Default	SA-0076			87cf356f-4dc4-44a0-a156-1c19abcc1606				SA-Rapid Bay				1609286400000	2020	12	30	-1			Chrissy Tustison																					None						unknown	adult	Phycodurus	eques			AB_RapidBay_30Dec2020_Leafy.jpeg	/var/lib/tomcat8/webapps/wildbook_data_dir/f/9/f9a6e8da-370e-4e2d-aa70-281dc8e9f5e9/AB_RapidBay_30Dec2020_Leafy.jpeg	AB_RapidBay_30Dec2020_Leafy.jpeg	/var/lib/tomcat8/webapps/wildbook_data_dir/f/9/f9a6e8da-370e-4e2d-aa70-281dc8e9f5e9/AB_RapidBay_30Dec2020_Leafy.jpeg
ecab1c36-94ed-499e-9c79-bc86d4e9e236	Default	SA-0078			35aa38cd-4607-4ccd-b82b-cec3eb27ed7b					"Kingscote + Brownlowe, Kangaroo Island, South Australia"			1608249600000	2020	12	18	-1			Chrissy Tustison																					None						unknown	adult	Phycodurus	eques			AB_18Dec2020_Kinscote_Brownlowe_KangarooIsland_Leafy.jpeg	/var/lib/tomcat8/webapps/wildbook_data_dir/e/c/ecab1c36-94ed-499e-9c79-bc86d4e9e236/AB_18Dec2020_Kinscote_Brownlowe_KangarooIsland_Leafy.jpeg	AB_18Dec2020_Kinscote_Brownlowe_KangarooIsland_Leafy.jpeg	/var/lib/tomcat8/webapps/wildbook_data_dir/e/c/ecab1c36-94ed-499e-9c79-bc86d4e9e236/AB_18Dec2020_Kinscote_Brownlowe_KangarooIsland_Leafy.jpeg
09467b02-ce7f-4453-825c-039022293a6e	Default	SA-0070			12610bdb-0e19-4898-a4f3-9f7d7de2a9ec				SA-Rapid Bay				1539302400000	2018	10	12	-1			Chrissy Tustison																					None						unknown	adult	Phycodurus	eques			AB_12Oct2018_RapidBay_Leafy.jpeg	/var/lib/tomcat8/webapps/wildbook_data_dir/0/9/09467b02-ce7f-4453-825c-039022293a6e/AB_12Oct2018_RapidBay_Leafy.jpeg	AB_12Oct2018_RapidBay_Leafy.jpeg	/var/lib/tomcat8/webapps/wildbook_data_dir/0/9/09467b02-ce7f-4453-825c-039022293a6e/AB_12Oct2018_RapidBay_Leafy.jpeg
317de6dd-5b4c-4d93-a46f-ca08e2e077d3	Default	SA-0071			78aa9fee-ba19-4b41-9297-289b6ef7ca30				SA-Rapid Bay				1536710400000	2018	9	12	-1			Chrissy Tustison																					None						unknown	adult	Phycodurus	eques			AB_12Sept2018_RapidBay_Leafy.jpeg	/var/lib/tomcat8/webapps/wildbook_data_dir/3/1/317de6dd-5b4c-4d93-a46f-ca08e2e077d3/AB_12Sept2018_RapidBay_Leafy.jpeg	AB_12Sept2018_RapidBay_Leafy.jpeg	/var/lib/tomcat8/webapps/wildbook_data_dir/3/1/317de6dd-5b4c-4d93-a46f-ca08e2e077d3/AB_12Sept2018_RapidBay_Leafy.jpeg
85ab5505-ddc2-44c6-bf2d-7b0689d63f43	Default	SA-0074			784fb6e5-d09d-4670-b0b2-ddc4cc3f6a23				SA-Rapid Bay				1513987200000	2017	12	23	-1			Chrissy Tustison																					None						male	male-with-brood	Phycodurus	eques			AB_23Dec2017_RapidBay_Leafy.jpeg	/var/lib/tomcat8/webapps/wildbook_data_dir/8/5/85ab5505-ddc2-44c6-bf2d-7b0689d63f43/AB_23Dec2017_RapidBay_Leafy.jpeg	AB_23Dec2017_RapidBay_Leafy.jpeg	/var/lib/tomcat8/webapps/wildbook_data_dir/8/5/85ab5505-ddc2-44c6-bf2d-7b0689d63f43/AB_23Dec2017_RapidBay_Leafy.jpeg
5274a599-159f-4f3c-a6f1-12b26f873f14	Default	SA-0067			557550e3-ed39-4085-a4c0-565a730e301a				SA-Rapid Bay				1488499200000	2017	3	3	-1			Chrissy Tustison																					None						unknown	adult	Phycodurus	eques			AB_03March2017_RapidBay_Leafy.jpeg	/var/lib/tomcat8/webapps/wildbook_data_dir/5/2/5274a599-159f-4f3c-a6f1-12b26f873f14/AB_03March2017_RapidBay_Leafy.jpeg	AB_03March2017_RapidBay_Leafy.jpeg	/var/lib/tomcat8/webapps/wildbook_data_dir/5/2/5274a599-159f-4f3c-a6f1-12b26f873f14/AB_03March2017_RapidBay_Leafy.jpeg
